Iteration: 0, Loss: 304.3805236816406, Base Loss: 304.3805236816406, Regularisation Term: -0.0, Hessian Trace: -142.57872009277344
Iteration: 1000, Loss: 162.02554321289062, Base Loss: 162.02554321289062, Regularisation Term: -0.0, Hessian Trace: -12.682612419128418
Iteration: 1000, Loss: 167.28506469726562, Base Loss: 167.28506469726562, Regularisation Term: -0.0, Hessian Trace: -14.972749710083008
Iteration: 2000, Loss: 167.4652862548828, Base Loss: 167.4652862548828, Regularisation Term: -0.0, Hessian Trace: -11.844724655151367
Iteration: 2000, Loss: 165.39816284179688, Base Loss: 165.39816284179688, Regularisation Term: -0.0, Hessian Trace: -15.60616397857666
Iteration: 3000, Loss: 161.11550903320312, Base Loss: 161.11550903320312, Regularisation Term: -0.0, Hessian Trace: -8.93381118774414
Iteration: 3000, Loss: 165.1769561767578, Base Loss: 165.1769561767578, Regularisation Term: -0.0, Hessian Trace: -11.872151374816895
Iteration: 4000, Loss: 157.93551635742188, Base Loss: 157.93551635742188, Regularisation Term: -0.0, Hessian Trace: -9.590703010559082
Iteration: 4000, Loss: 163.8378448486328, Base Loss: 163.8378448486328, Regularisation Term: -0.0, Hessian Trace: -9.797746658325195
Iteration: 5000, Loss: 164.56932067871094, Base Loss: 164.56932067871094, Regularisation Term: -0.0, Hessian Trace: -7.366189479827881
Iteration: 5000, Loss: 163.83969116210938, Base Loss: 163.83969116210938, Regularisation Term: -0.0, Hessian Trace: -7.396462917327881
Iteration: 6000, Loss: 168.9222869873047, Base Loss: 168.9222869873047, Regularisation Term: -0.0, Hessian Trace: -12.674221992492676
Iteration: 6000, Loss: 163.2295379638672, Base Loss: 163.2295379638672, Regularisation Term: -0.0, Hessian Trace: -11.901042938232422
Iteration: 7000, Loss: 168.5058135986328, Base Loss: 168.5058135986328, Regularisation Term: -0.0, Hessian Trace: -8.189507484436035
Iteration: 7000, Loss: 163.0094451904297, Base Loss: 163.0094451904297, Regularisation Term: -0.0, Hessian Trace: -8.306722640991211
Iteration: 8000, Loss: 167.0830078125, Base Loss: 167.0830078125, Regularisation Term: -0.0, Hessian Trace: -9.235370635986328
Iteration: 8000, Loss: 163.2194366455078, Base Loss: 163.2194366455078, Regularisation Term: -0.0, Hessian Trace: -8.876664161682129
Iteration: 9000, Loss: 162.98397827148438, Base Loss: 162.98397827148438, Regularisation Term: -0.0, Hessian Trace: -10.207573890686035
Iteration: 9000, Loss: 162.10279846191406, Base Loss: 162.10279846191406, Regularisation Term: -0.0, Hessian Trace: -10.339861869812012
Iteration: 10000, Loss: 161.76544189453125, Base Loss: 161.76544189453125, Regularisation Term: -0.0, Hessian Trace: -11.137801170349121
Iteration: 10000, Loss: 162.32925415039062, Base Loss: 162.32925415039062, Regularisation Term: -0.0, Hessian Trace: -11.264108657836914
Iteration: 11000, Loss: 158.7213134765625, Base Loss: 158.7213134765625, Regularisation Term: -0.0, Hessian Trace: -13.787242889404297
Iteration: 11000, Loss: 162.0451202392578, Base Loss: 162.0451202392578, Regularisation Term: -0.0, Hessian Trace: -12.376665115356445
