Iteration: 0, Loss: 431.3658142089844, Base Loss: 431.3658142089844, Regularisation Term: 0.0, Hessian Trace: 29.494525909423828
Iteration: 1000, Loss: 260.4189147949219, Base Loss: 260.4189147949219, Regularisation Term: 0.0, Hessian Trace: -1.3213374614715576
Iteration: 1000, Loss: 262.8875732421875, Base Loss: 262.8875732421875, Regularisation Term: 0.0, Hessian Trace: -0.9264524579048157
Iteration: 2000, Loss: 253.623046875, Base Loss: 253.623046875, Regularisation Term: 0.0, Hessian Trace: -1.3164359331130981
Iteration: 2000, Loss: 251.78179931640625, Base Loss: 251.78179931640625, Regularisation Term: 0.0, Hessian Trace: -1.3314170837402344
Iteration: 3000, Loss: 247.61859130859375, Base Loss: 247.61859130859375, Regularisation Term: 0.0, Hessian Trace: -1.2844595909118652
Iteration: 3000, Loss: 250.187744140625, Base Loss: 250.187744140625, Regularisation Term: 0.0, Hessian Trace: -1.4899373054504395
Iteration: 4000, Loss: 249.9602813720703, Base Loss: 249.9602813720703, Regularisation Term: 0.0, Hessian Trace: -2.180004358291626
Iteration: 4000, Loss: 250.42568969726562, Base Loss: 250.42568969726562, Regularisation Term: 0.0, Hessian Trace: -2.3007097244262695
Iteration: 5000, Loss: 247.53030395507812, Base Loss: 247.53030395507812, Regularisation Term: 0.0, Hessian Trace: -1.8180242776870728
Iteration: 5000, Loss: 250.8524169921875, Base Loss: 250.8524169921875, Regularisation Term: 0.0, Hessian Trace: -1.8719228506088257
Iteration: 6000, Loss: 247.72254943847656, Base Loss: 247.72254943847656, Regularisation Term: 0.0, Hessian Trace: -2.9526526927948
Iteration: 6000, Loss: 249.10476684570312, Base Loss: 249.10476684570312, Regularisation Term: 0.0, Hessian Trace: -3.041440010070801
Iteration: 7000, Loss: 248.7308807373047, Base Loss: 248.7308807373047, Regularisation Term: 0.0, Hessian Trace: -1.4212878942489624
Iteration: 7000, Loss: 247.9340362548828, Base Loss: 247.9340362548828, Regularisation Term: 0.0, Hessian Trace: -1.5830178260803223
Iteration: 8000, Loss: 247.6477508544922, Base Loss: 247.6477508544922, Regularisation Term: 0.0, Hessian Trace: -2.756748676300049
Iteration: 8000, Loss: 243.9960479736328, Base Loss: 243.9960479736328, Regularisation Term: 0.0, Hessian Trace: -2.52647066116333
Iteration: 9000, Loss: 250.23153686523438, Base Loss: 250.23153686523438, Regularisation Term: 0.0, Hessian Trace: -2.971675395965576
Iteration: 9000, Loss: 243.41738891601562, Base Loss: 243.41738891601562, Regularisation Term: 0.0, Hessian Trace: -2.998450994491577
Iteration: 10000, Loss: 249.35897827148438, Base Loss: 249.35897827148438, Regularisation Term: 0.0, Hessian Trace: -3.2101986408233643
Iteration: 10000, Loss: 250.2659454345703, Base Loss: 250.2659454345703, Regularisation Term: 0.0, Hessian Trace: -3.017652988433838
Iteration: 11000, Loss: 249.1067657470703, Base Loss: 249.1067657470703, Regularisation Term: 0.0, Hessian Trace: -3.686405658721924
Iteration: 11000, Loss: 248.30044555664062, Base Loss: 248.30044555664062, Regularisation Term: 0.0, Hessian Trace: -4.25429105758667
Iteration: 12000, Loss: 247.5674285888672, Base Loss: 247.5674285888672, Regularisation Term: 0.0, Hessian Trace: -4.760387420654297
Iteration: 12000, Loss: 244.23159790039062, Base Loss: 244.23159790039062, Regularisation Term: 0.0, Hessian Trace: -4.6424560546875
Iteration: 13000, Loss: 247.17800903320312, Base Loss: 247.17800903320312, Regularisation Term: 0.0, Hessian Trace: -4.060645580291748
Iteration: 13000, Loss: 239.4687957763672, Base Loss: 239.4687957763672, Regularisation Term: 0.0, Hessian Trace: -3.698909282684326
Iteration: 14000, Loss: 240.81698608398438, Base Loss: 240.81698608398438, Regularisation Term: 0.0, Hessian Trace: -5.598506927490234
Iteration: 14000, Loss: 242.28724670410156, Base Loss: 242.28724670410156, Regularisation Term: 0.0, Hessian Trace: -5.50250768661499
Iteration: 15000, Loss: 251.17132568359375, Base Loss: 251.17132568359375, Regularisation Term: 0.0, Hessian Trace: -4.815417766571045
Iteration: 15000, Loss: 246.87879943847656, Base Loss: 246.87879943847656, Regularisation Term: 0.0, Hessian Trace: -4.278374671936035
Iteration: 16000, Loss: 246.42498779296875, Base Loss: 246.42498779296875, Regularisation Term: 0.0, Hessian Trace: -4.1937456130981445
Iteration: 16000, Loss: 243.2782440185547, Base Loss: 243.2782440185547, Regularisation Term: 0.0, Hessian Trace: -4.368696212768555
Iteration: 17000, Loss: 245.68894958496094, Base Loss: 245.68894958496094, Regularisation Term: 0.0, Hessian Trace: -4.959841728210449
Iteration: 17000, Loss: 245.4199981689453, Base Loss: 245.4199981689453, Regularisation Term: 0.0, Hessian Trace: -4.828723430633545
Iteration: 18000, Loss: 246.33270263671875, Base Loss: 246.33270263671875, Regularisation Term: 0.0, Hessian Trace: -4.989950180053711
Iteration: 18000, Loss: 243.45059204101562, Base Loss: 243.45059204101562, Regularisation Term: 0.0, Hessian Trace: -4.864234924316406
Iteration: 19000, Loss: 245.93247985839844, Base Loss: 245.93247985839844, Regularisation Term: 0.0, Hessian Trace: -4.710065841674805
Iteration: 19000, Loss: 246.26797485351562, Base Loss: 246.26797485351562, Regularisation Term: 0.0, Hessian Trace: -4.9864702224731445
Iteration: 20000, Loss: 247.74449157714844, Base Loss: 247.74449157714844, Regularisation Term: 0.0, Hessian Trace: -6.3626275062561035
Iteration: 20000, Loss: 243.40516662597656, Base Loss: 243.40516662597656, Regularisation Term: 0.0, Hessian Trace: -6.238100051879883
Iteration: 21000, Loss: 244.61392211914062, Base Loss: 244.61392211914062, Regularisation Term: 0.0, Hessian Trace: -5.083237171173096
Iteration: 21000, Loss: 246.135498046875, Base Loss: 246.135498046875, Regularisation Term: 0.0, Hessian Trace: -4.930437088012695
Iteration: 22000, Loss: 247.33245849609375, Base Loss: 247.33245849609375, Regularisation Term: 0.0, Hessian Trace: -5.098390579223633
Iteration: 22000, Loss: 245.40892028808594, Base Loss: 245.40892028808594, Regularisation Term: 0.0, Hessian Trace: -5.261279106140137
Iteration: 23000, Loss: 244.32595825195312, Base Loss: 244.32595825195312, Regularisation Term: 0.0, Hessian Trace: -6.139796733856201
Iteration: 23000, Loss: 239.7656707763672, Base Loss: 239.7656707763672, Regularisation Term: 0.0, Hessian Trace: -6.133825778961182
Iteration: 24000, Loss: 251.4181671142578, Base Loss: 251.4181671142578, Regularisation Term: 0.0, Hessian Trace: -4.536983013153076
Iteration: 24000, Loss: 246.10569763183594, Base Loss: 246.10569763183594, Regularisation Term: 0.0, Hessian Trace: -5.0487284660339355
Iteration: 25000, Loss: 239.15138244628906, Base Loss: 239.15138244628906, Regularisation Term: 0.0, Hessian Trace: -3.8084185123443604
Iteration: 25000, Loss: 238.2612762451172, Base Loss: 238.2612762451172, Regularisation Term: 0.0, Hessian Trace: -4.200960159301758
