Iteration: 0, Loss: 431.45281982421875, Base Loss: 431.3658142089844, Regularisation Term: 0.08699271082878113, Hessian Trace: 29.494525909423828
Iteration: 1000, Loss: 260.2580261230469, Base Loss: 260.2578125, Regularisation Term: 0.00022528530098497868, Hessian Trace: -1.5009506940841675
Iteration: 1000, Loss: 263.3938293457031, Base Loss: 263.3937072753906, Regularisation Term: 0.00011554087541298941, Hessian Trace: -1.074899435043335
Iteration: 2000, Loss: 254.36605834960938, Base Loss: 254.36593627929688, Regularisation Term: 0.00012611747661139816, Hessian Trace: -1.1230202913284302
Iteration: 2000, Loss: 252.0353240966797, Base Loss: 252.03518676757812, Regularisation Term: 0.00014299761096481234, Hessian Trace: -1.195816159248352
Iteration: 3000, Loss: 247.00363159179688, Base Loss: 247.0035400390625, Regularisation Term: 9.469965152675286e-05, Hessian Trace: -0.9731374382972717
Iteration: 3000, Loss: 250.0008544921875, Base Loss: 250.00074768066406, Regularisation Term: 0.00011118222028017044, Hessian Trace: -1.0544298887252808
Iteration: 4000, Loss: 249.77200317382812, Base Loss: 249.77174377441406, Regularisation Term: 0.00025227898731827736, Hessian Trace: -1.5883293151855469
Iteration: 4000, Loss: 250.70095825195312, Base Loss: 250.70071411132812, Regularisation Term: 0.00024297395430039614, Hessian Trace: -1.5587623119354248
Iteration: 5000, Loss: 247.49078369140625, Base Loss: 247.49063110351562, Regularisation Term: 0.00015194590378087014, Hessian Trace: -1.2326633930206299
Iteration: 5000, Loss: 251.3480682373047, Base Loss: 251.347900390625, Regularisation Term: 0.0001723164168652147, Hessian Trace: -1.3126935958862305
Iteration: 6000, Loss: 248.07810974121094, Base Loss: 248.07733154296875, Regularisation Term: 0.0007773919496685266, Hessian Trace: -2.788174867630005
Iteration: 6000, Loss: 249.54916381835938, Base Loss: 249.5482635498047, Regularisation Term: 0.0008948050672188401, Hessian Trace: -2.9913294315338135
Iteration: 7000, Loss: 249.45864868164062, Base Loss: 249.45838928222656, Regularisation Term: 0.00025763505254872143, Hessian Trace: -1.6051013469696045
Iteration: 7000, Loss: 248.70298767089844, Base Loss: 248.7027130126953, Regularisation Term: 0.00028215820202603936, Hessian Trace: -1.6797566413879395
Iteration: 8000, Loss: 247.8413543701172, Base Loss: 247.84091186523438, Regularisation Term: 0.0004372500698082149, Hessian Trace: -2.091052532196045
Iteration: 8000, Loss: 244.6249542236328, Base Loss: 244.62451171875, Regularisation Term: 0.0004353378026280552, Hessian Trace: -2.086475133895874
Iteration: 9000, Loss: 251.05763244628906, Base Loss: 251.05718994140625, Regularisation Term: 0.0004451204731594771, Hessian Trace: -2.109787940979004
Iteration: 9000, Loss: 243.9829864501953, Base Loss: 243.982421875, Regularisation Term: 0.0005688307574018836, Hessian Trace: -2.3850173950195312
Iteration: 10000, Loss: 249.43496704101562, Base Loss: 249.4338836669922, Regularisation Term: 0.0010887120151892304, Hessian Trace: -3.2995636463165283
Iteration: 10000, Loss: 250.33143615722656, Base Loss: 250.3307647705078, Regularisation Term: 0.000676601892337203, Hessian Trace: -2.6011571884155273
Iteration: 11000, Loss: 248.9851531982422, Base Loss: 248.98440551757812, Regularisation Term: 0.0007498104823753238, Hessian Trace: -2.738266706466675
Iteration: 11000, Loss: 248.629150390625, Base Loss: 248.6282501220703, Regularisation Term: 0.0008970367489382625, Hessian Trace: -2.9950573444366455
Iteration: 12000, Loss: 247.7940216064453, Base Loss: 247.79283142089844, Regularisation Term: 0.0011957777896896005, Hessian Trace: -3.4580020904541016
Iteration: 12000, Loss: 244.2750244140625, Base Loss: 244.27386474609375, Regularisation Term: 0.0011628489010035992, Hessian Trace: -3.410057306289673
